Name,Map,MapSize,Gamemode,Region,Players,QueuePlayers,MaxPlayers,Hz,DayNight,IsOfficial,HasPassword,AntiCheat,Build
[US] NamelessNoobs 24/7 Conquest,District,Big,CONQ,America_Central,0,1,128,120,Day,False,False,EAC,Production 2.1.2
[Vietnam] [Official Progression] bb.haicon.moe,Basra,Tiny,TDM,Asia_Central,0,0,36,60,Day,False,False,EAC,Production 2.1.2
190-J7-00,Valley,Medium,DOMI,Europe_Central,51,2,64,60,Day,False,False,EAC,Production 2.1.2
177-2D-00,Basra,Ultra,CONQ,Brazil_Central,107,2,254,60,Day,False,False,EAC,Production 2.1.2
Aussie Battler Gaming | AU#4 | discord.gg/abg,Azagor,Tiny,TDM,Australia_Central,0,0,16,240,Day,False,False,EAC,Production 2.1.2
[PRUU-BR] GUN GAME 8x8 | Fast Respawn | discord.gg/pruu,WineParadise,Tiny,TDM,Brazil_Central,0,0,16,144,Day,False,False,EAC,Production 2.1.2
[BBC] 24/7 DOMINATION | DOMI MOMMY | Bob's BattleBit Community | BOBSQUAD.GG,Azagor,Medium,DOMI,America_Central,0,0,150,60,Day,False,False,EAC,Production 2.1.2
Aussie Battler Gaming | AU#1 | discord.gg/abg,Azagor,Ultra,CONQ,Australia_Central,0,0,254,240,Day,False,False,EAC,Production 2.1.2
Fast Respawn | No Snipers | Longer rounds | !rank | by EliteHunterZ,SandySunset,Small,TDM,Europe_Central,28,1,74,120,Day,False,False,EAC,Production 2.1.2
[GNA-04] 24/7 Rush | No Recons | Day Only | Selected Map Pool |,Namak,Medium,RUSH,America_Central,49,0,64,144,Day,False,False,EAC,Production 2.1.2
DaGameroom,Namak,Tiny,TDM,America_Central,1,0,36,120,Day,False,True,EAC,Production 2.1.2
176-AL-00,TensaTown,Ultra,CONQ,America_Central,250,4,254,60,Day,False,False,EAC,Production 2.1.2
Infantry Paradise | Sniper-Limit/No-Vehicles | discord.gg/LONWP,Dustydew,Big,INFCONQ,Europe_Central,127,1,128,120,Day,False,False,EAC,Production 2.1.2
CN |兰博电竞国服| #01 官方进度 24/7 抢攻复仇 |Q群:887245025,Construction,Ultra,DOMI,Japan_Central,2,0,254,240,Day,False,False,EAC,Production 2.1.2
Jebiga-Gaming Server No.1 | ALL GAMEMODES |discord.gg/NUGgDxcEjA,TensaTown,Ultra,CONQ,Europe_Central,0,0,254,60,Day,False,False,EAC,Production 2.1.2
188-LP-00,MultuIslands,Medium,RUSH,America_Central,62,2,64,60,Day,False,False,EAC,Production 2.1.2
[BBC] 24/7 CAPTURE THE FLAG | E-Girl Heaven | Bob's BattleBit Community | BOBSQUAD.GG,District,Medium,CaptureTheFlag,America_Central,1,0,150,60,Day,False,False,EAC,Production 2.1.2
Jebiga-Gaming Server No.4 | 24/7 FRONTLINE |discord.gg/NUGgDxcEjA,TensaTown,Medium,FRONTLINE,Europe_Central,0,0,64,60,Day,False,False,EAC,Production 2.1.2
SFW BattleBit Asia 003 discord.gg/55zgr8C,Azagor,Big,CONQ,Asia_Central,0,0,128,120,Day,False,False,EAC,Production 2.1.2
Zombie Nightmare | In Development | HIRING! | discord.axiomatikally.com,Wakistan,Ultra,DOMI,Europe_Central,0,0,254,120,Day,False,True,EAC,Production 2.1.2
190-JC-01,TensaTown,Big,CONQ,Europe_Central,128,0,128,60,Day,False,False,EAC,Production 2.1.2
186-LD-00,Azagor,Medium,RUSH,America_Central,61,3,64,60,Day,False,False,EAC,Production 2.1.2
177-JP-01,Namak,Medium,RUSH,Europe_Central,58,6,64,60,Day,False,False,EAC,Production 2.1.2
SFW BattleBit Asia 002 discord.gg/55zgr8C,Azagor,Tiny,TDM,Asia_Central,0,0,36,120,Day,False,False,EAC,Production 2.1.2
[CN]UB社区 BBR 官方进度#01|国服|原生|Q群：728824298,Azagor,Ultra,CONQ,Japan_Central,0,0,254,240,Day,False,False,EAC,Production 2.1.2
190-8Q-01,Lonovo,Medium,DOMI,Europe_Central,62,2,64,60,Day,False,False,EAC,Production 2.1.2
190-8Z-01,District,Ultra,CONQ,Europe_Central,253,1,254,60,Day,False,False,EAC,Production 2.1.2
Aussie Battler Gaming | AU#3 | Rush 24/7 |discord.gg/abg,District,Medium,RUSH,Australia_Central,0,0,64,240,Day,False,False,EAC,Production 2.1.2
172-AH-00,District,Big,CONQ,America_Central,95,1,128,60,Day,False,False,EAC,Production 2.1.2
172-BX-01,Wakistan,Ultra,DOMI,Japan_Central,182,5,254,60,Day,False,False,EAC,Production 2.1.2
190-JC-02,Salhan,Ultra,DOMI,Europe_Central,26,4,254,60,Day,False,False,EAC,Production 2.1.2
[CN]UB社区 BBR 官方进度#03|国服|快速复活+快速载具刷新|Q群：728824298,Azagor,Big,CONQ,Japan_Central,0,0,128,240,Day,False,False,EAC,Production 2.1.2
177-J8-00,TensaTown,Ultra,CONQ,Europe_Central,252,2,254,60,Day,False,False,EAC,Production 2.1.2
Lifesteal Gungame [https://dsc.gg/bblifesteal],Construction,Tiny,TDM,Europe_Central,9,0,36,120,Day,False,False,EAC,Production 2.1.2
190-J8-00,TensaTown,Medium,RUSH,Europe_Central,63,1,64,60,Day,False,False,EAC,Production 2.1.2
Modest Escalation (Team Gun Game) #2,WineParadise,Small,TDM,America_Central,60,0,74,120,Day,False,False,EAC,Production 2.1.2
189-8N-01,Valley,Big,DOMI,Europe_Central,128,0,128,60,Day,False,False,EAC,Production 2.1.2
189-8N-00,WineParadise,Ultra,CONQ,Europe_Central,254,0,254,60,Day,False,False,EAC,Production 2.1.2
24/7 Domination | BattleBit Friends,Wakistan,Ultra,DOMI,America_Central,251,3,254,120,Day,False,False,EAC,Production 2.1.2
[CN]ASMR#2 步战|官方进度|64v64|群644195819,Azagor,Tiny,TDM,Japan_Central,0,0,36,240,Day,False,False,EAC,Production 2.1.2
Modest Escalation (Team Gun Game) #1,Salhan,Tiny,TDM,America_Central,25,1,36,120,Day,False,False,EAC,Production 2.1.2
[NA-W] The Neighborhood's 24/7 Frontline | Recon Limit | No Waki/Sandy,Eduardovo,Ultra,FRONTLINE,America_Central,247,7,254,240,Day,False,False,EAC,Production 2.1.2
177-24-00,Azagor,Medium,DOMI,Brazil_Central,64,0,64,60,Day,False,False,EAC,Production 2.1.2
[CN]UB社区 BBR 官方进度#02|国服|快速复活+快速载具刷新|Q群：728824298,Azagor,Ultra,CONQ,Japan_Central,0,0,254,240,Day,False,False,EAC,Production 2.1.2
177-8Z-00,Azagor,Medium,DOMI,Europe_Central,63,0,64,60,Day,False,False,EAC,Production 2.1.2
177-JD-02,Valley,Ultra,DOMI,Europe_Central,254,0,254,60,Day,False,False,EAC,Production 2.1.2
 [02][144Hz][Cla BR] Sem Chorar [Dom 24/7],Isle,Big,DOMI,Brazil_Central,126,1,128,144,Day,False,False,EAC,Production 2.1.2
177-89-01,Basra,Big,CONQ,Europe_Central,126,1,128,60,Day,False,False,EAC,Production 2.1.2
177-JP-00,SandySunset,Big,CONQ,Europe_Central,125,2,128,60,Day,False,False,EAC,Production 2.1.2
190-JD-00,Namak,Medium,RUSH,Europe_Central,61,2,64,60,Day,False,False,EAC,Production 2.1.2
#3 [EU] [ENG] [OFFICIAL PROGRESSION] [HARDCORE] | INSOMNIA discord.gg/insomniagc | 16v16 HARDCORE,Azagor,Tiny,TDM,Europe_Central,0,0,32,240,Day,False,True,EAC,Production 2.1.2
Elite Soldiers Infantry Warfare | Join us at discord.elitesoldiers.nl,Valley,Tiny,TDM,Europe_Central,8,0,36,120,Day,False,False,EAC,Production 2.1.2
177-JC-01,Basra,Ultra,CONQ,Europe_Central,254,0,254,60,Day,False,False,EAC,Production 2.1.2
190-J7-08,Valley,Big,CONQ,Europe_Central,121,7,128,60,Day,False,False,EAC,Production 2.1.2
#1 [EU] [ENG] INSOMNIA | discord.gg/insomniagc 127v127,Azagor,Ultra,CONQ,Europe_Central,0,0,254,240,Day,False,True,EAC,Production 2.1.2
[RU]RED:S #1 24\7 Frontline|Sniper Slots,Wakistan,Ultra,FRONTLINE,Europe_Central,189,90,254,124,Day,False,False,EAC,Production 2.1.2
PixelProwler | 24/7 | 60Hz | NEW TRENCH!,VoxelLand,Ultra,VoxelTrench,Europe_Central,50,0,254,60,Day,False,False,EAC,Production 2.1.2
174-JB-00,TensaTown,Medium,RUSH,America_Central,58,6,64,60,Day,False,False,EAC,Production 2.1.2
[BBC] 24/7 FRONTLINE | Bob's BattleBit Community | BOBSQUAD.GG,Basra,Medium,FRONTLINE,America_Central,2,0,150,60,Night,False,False,None,Production 2.1.2
Lotus 23,Namak,Tiny,TDM,America_Central,5,0,16,60,Day,False,False,EAC,Production 2.1.2
[Official Progression] Arckei Network #3,Salhan,Medium,RUSH,America_Central,63,1,64,120,Day,False,False,None,Production 2.1.2
AgentSmith's Dev Server,District,Medium,DOMI,America_Central,0,0,150,60,Day,False,True,EAC,Production 2.1.2
SFW BattleBit Asia 004 discord.gg/55zgr8C,District,Big,DOMI,Asia_Central,0,0,128,120,Day,False,False,EAC,Production 2.1.2
[Community] TGTV Frontline Chaos | Max Level | 1.5x Speed,Azagor,Medium,CONQ,Europe_Central,0,0,150,240,Day,False,False,EAC,Production 2.1.2
177-8Z-03,Salhan,Big,DOMI,Europe_Central,29,2,128,60,Day,False,False,EAC,Production 2.1.2
177-JD-01,Salhan,Medium,RUSH,Europe_Central,63,0,64,60,Day,False,False,EAC,Production 2.1.2
[Official Progression] Arckei Network #4,District,Medium,RUSH,America_Central,64,0,64,120,Day,False,False,EAC,Production 2.1.2
 [01][144Hz][Cla BR] Sem Chorar [Frontline 24/7],Valley,Ultra,FRONTLINE,Brazil_Central,236,6,254,144,Day,False,False,EAC,Production 2.1.2
194-JJ-00,Construction,Big,DOMI,America_Central,126,2,128,60,Day,False,False,EAC,Production 2.1.2
[Official Progression] Arckei Network #2,District,Medium,DOMI,America_Central,63,0,64,120,Day,False,False,EAC,Production 2.1.2
190-JC-00,Valley,Big,CONQ,Europe_Central,126,2,128,60,Day,False,False,EAC,Production 2.1.2
190-8Q-02,Frugis,Ultra,CONQ,Europe_Central,253,1,254,60,Day,False,False,EAC,Production 2.1.2
Jebiga-Gaming Server No.3 | 24/7 DOMINATION | discord.gg/NUGgDxcEjA,TensaTown,Medium,DOMI,Europe_Central,0,1,64,60,Day,False,False,EAC,Production 2.1.2
188-LD-00,District,Big,DOMI,America_Central,101,4,128,60,Day,False,False,EAC,Production 2.1.2
[BitFront] Only old Maps | Everything Unlocked | discord.gg/nSkrkzEdSu,Old_Namak,Medium,CONQ,Europe_Central,37,0,64,120,Day,False,False,EAC,Production 2.1.2
[Community] TGTV Gun Game,Azagor,Tiny,TDM,Europe_Central,2,0,36,120,Day,False,False,EAC,Production 2.1.2
[TLR] The Last Rifles [EU1] | discord.gg/tlr,Isle,Ultra,CONQ,Europe_Central,0,0,254,240,Day,False,False,EAC,Production 2.1.10 Hotfix
Aussie Battler Gaming | AU#2 | Infantry Only | discord.gg/abg,Construction,Big,INFCONQ,Australia_Central,0,0,128,240,Day,False,False,EAC,Production 2.1.2
185-LV-00,Isle,Ultra,DOMI,America_Central,247,1,254,60,Day,False,False,EAC,Production 2.1.2
[KERM] Dueling (WIP),Azagor,Tiny,TDM,America_Central,0,0,16,60,Day,False,True,EAC,Production 2.1.2
188-LC-00,TensaTown,Ultra,CONQ,America_Central,197,4,254,60,Day,False,False,EAC,Production 2.1.2
Promod Medic Only!,Azagor,Small,TDM,Australia_Central,0,0,32,120,Day,False,False,EAC,Production 2.1.10 Hotfix
[Community] El-Taberna | FrontLine & Domination,Salhan,Medium,DOMI,Europe_Central,31,0,64,60,Day,False,False,EAC,Production 2.1.2
CN |兰博电竞国服| #99 官方进度 24/7 前线突破 |Q群:887245025,TensaTown,Ultra,FRONTLINE,Japan_Central,0,0,254,240,Day,False,False,EAC,Production 2.1.2
 [03][144Hz][Cla BR] Sem Chorar [Rush/CTF/Domi],River,Medium,DOMI,Brazil_Central,64,0,64,144,Day,False,False,EAC,Production 2.1.2
188-Z-00,TensaTown,Ultra,CONQ,America_Central,254,0,254,60,Day,False,False,EAC,Production 2.1.2
[GNA-02] 15 Recon Limit Per Team | ,SandySunset,Ultra,CONQ,America_Central,0,0,254,144,Day,False,False,EAC,Production 2.1.2
